territori,tipus_de_territori,anys,preu_mitja_lloguer
el barri gotic,barri,2021,947.0674952
el barri gotic,barri,2022,1133.360204
el barri gotic,barri,2023,1265.379381
la barceloneta,barri,2000,NA
la barceloneta,barri,2001,NA
la barceloneta,barri,2002,NA
la barceloneta,barri,2003,NA
la barceloneta,barri,2004,NA
la barceloneta,barri,2005,NA
la barceloneta,barri,2006,NA
la barceloneta,barri,2007,NA
la barceloneta,barri,2008,NA
la barceloneta,barri,2009,NA
la barceloneta,barri,2010,NA
la barceloneta,barri,2011,NA
la barceloneta,barri,2012,NA
la barceloneta,barri,2013,NA
la barceloneta,barri,2014,563.0821731
la barceloneta,barri,2015,602.619
la barceloneta,barri,2016,667.3402662
la barceloneta,barri,2017,745.8147141
la barceloneta,barri,2018,899.369012
la barceloneta,barri,2019,895.897039
la barceloneta,barri,2020,867.9498905
la barceloneta,barri,2021,827.0884807
la barceloneta,barri,2022,944.0255718
la barceloneta,barri,2023,991.0295339
"sant pere, santa caterina i la ribera",barri,2000,NA
"sant pere, santa caterina i la ribera",barri,2001,NA
"sant pere, santa caterina i la ribera",barri,2002,NA
"sant pere, santa caterina i la ribera",barri,2003,NA
"sant pere, santa caterina i la ribera",barri,2004,NA
"sant pere, santa caterina i la ribera",barri,2005,NA
"sant pere, santa caterina i la ribera",barri,2006,NA
"sant pere, santa caterina i la ribera",barri,2007,NA
"sant pere, santa caterina i la ribera",barri,2008,NA
"sant pere, santa caterina i la ribera",barri,2009,NA
"sant pere, santa caterina i la ribera",barri,2010,NA
"sant pere, santa caterina i la ribera",barri,2011,NA
"sant pere, santa caterina i la ribera",barri,2012,NA
"sant pere, santa caterina i la ribera",barri,2013,NA
"sant pere, santa caterina i la ribera",barri,2014,685.1428004
"sant pere, santa caterina i la ribera",barri,2015,723.4489
"sant pere, santa caterina i la ribera",barri,2016,807.2592014
"sant pere, santa caterina i la ribera",barri,2017,916.6526967
"sant pere, santa caterina i la ribera",barri,2018,972.069013
"sant pere, santa caterina i la ribera",barri,2019,996.3534925
"sant pere, santa caterina i la ribera",barri,2020,954.4768416
"sant pere, santa caterina i la ribera",barri,2021,888.2700664
"sant pere, santa caterina i la ribera",barri,2022,1070.015077
"sant pere, santa caterina i la ribera",barri,2023,1138.015589
eixample,districte,2000,436.3817708
eixample,districte,2001,515.1926847
eixample,districte,2002,564.6640624
eixample,districte,2003,595.4840516
eixample,districte,2004,635.3561163
eixample,districte,2005,703.0551282
eixample,districte,2006,750.7286647
eixample,districte,2007,831.100538
eixample,districte,2008,891.6376755
eixample,districte,2009,862.8537777
eixample,districte,2010,833.4628428
eixample,districte,2011,821.8094213
eixample,districte,2012,800.4475976
eixample,districte,2013,763.5268188
eixample,districte,2014,776.9125319
eixample,districte,2015,831.4381
eixample,districte,2016,917.2738016
eixample,districte,2017,990.7334956
eixample,districte,2018,1038.379706
eixample,districte,2019,1093.69783
eixample,districte,2020,1075.436849
eixample,districte,2021,1007.574932
eixample,districte,2022,1140.424348
eixample,districte,2023,1274.962259
el fort pienc,barri,2000,NA
el fort pienc,barri,2001,NA
el fort pienc,barri,2002,NA
el fort pienc,barri,2003,NA
el fort pienc,barri,2004,NA
el fort pienc,barri,2005,NA
el fort pienc,barri,2006,NA
el fort pienc,barri,2007,NA
el fort pienc,barri,2008,NA
el fort pienc,barri,2009,NA
el fort pienc,barri,2010,NA
el fort pienc,barri,2011,NA
el fort pienc,barri,2012,NA
el fort pienc,barri,2013,NA
el fort pienc,barri,2014,723.3286484
el fort pienc,barri,2015,768.1235
el fort pienc,barri,2016,823.4505402
el fort pienc,barri,2017,900.4181973
el fort pienc,barri,2018,950.3247859
el fort pienc,barri,2019,1012.41236
el fort pienc,barri,2020,1003.116258
el fort pienc,barri,2021,941.7681259
el fort pienc,barri,2022,1071.520203
el fort pienc,barri,2023,1179.546091
la sagrada familia,barri,2000,NA
la sagrada familia,barri,2001,NA
la sagrada familia,barri,2002,NA
la sagrada familia,barri,2003,NA
la sagrada familia,barri,2004,NA
la sagrada familia,barri,2005,NA
la sagrada familia,barri,2006,NA
la sagrada familia,barri,2007,NA
la sagrada familia,barri,2008,NA
la sagrada familia,barri,2009,NA
la sagrada familia,barri,2010,NA
la sagrada familia,barri,2011,NA
la sagrada familia,barri,2012,NA
la sagrada familia,barri,2013,NA
la sagrada familia,barri,2014,680.6806023
la sagrada familia,barri,2015,713.1482
la sagrada familia,barri,2016,775.990936
la sagrada familia,barri,2017,876.2485023
la sagrada familia,barri,2018,909.5861039
la sagrada familia,barri,2019,960.2126758
la sagrada familia,barri,2020,942.0899205
la sagrada familia,barri,2021,901.9817034
la sagrada familia,barri,2022,1019.402025
la sagrada familia,barri,2023,1115.109462
la dreta de l'eixample,barri,2000,NA
la dreta de l'eixample,barri,2001,NA
la dreta de l'eixample,barri,2002,NA
la dreta de l'eixample,barri,2003,NA
la dreta de l'eixample,barri,2004,NA
la dreta de l'eixample,barri,2005,NA
la dreta de l'eixample,barri,2006,NA
la dreta de l'eixample,barri,2007,NA
la dreta de l'eixample,barri,2008,NA
la dreta de l'eixample,barri,2009,NA
la dreta de l'eixample,barri,2010,NA
la dreta de l'eixample,barri,2011,NA
la dreta de l'eixample,barri,2012,NA
la dreta de l'eixample,barri,2013,NA
la dreta de l'eixample,barri,2014,945.8823636
la dreta de l'eixample,barri,2015,1012.5102
la dreta de l'eixample,barri,2016,1138.075177
la dreta de l'eixample,barri,2017,1195.226189
la dreta de l'eixample,barri,2018,1254.586013
la dreta de l'eixample,barri,2019,1307.616842
la dreta de l'eixample,barri,2020,1273.503243
la dreta de l'eixample,barri,2021,1189.224341
la dreta de l'eixample,barri,2022,1389.983161
la dreta de l'eixample,barri,2023,1578.630978
l'antiga esquerra de l'eixample,barri,2000,NA
l'antiga esquerra de l'eixample,barri,2001,NA
l'antiga esquerra de l'eixample,barri,2002,NA
l'antiga esquerra de l'eixample,barri,2003,NA
l'antiga esquerra de l'eixample,barri,2004,NA
l'antiga esquerra de l'eixample,barri,2005,NA
l'antiga esquerra de l'eixample,barri,2006,NA
l'antiga esquerra de l'eixample,barri,2007,NA
l'antiga esquerra de l'eixample,barri,2008,NA
l'antiga esquerra de l'eixample,barri,2009,NA
l'antiga esquerra de l'eixample,barri,2010,NA
l'antiga esquerra de l'eixample,barri,2011,NA
l'antiga esquerra de l'eixample,barri,2012,NA
l'antiga esquerra de l'eixample,barri,2013,NA
l'antiga esquerra de l'eixample,barri,2014,843.8570322
l'antiga esquerra de l'eixample,barri,2015,911.1438
l'antiga esquerra de l'eixample,barri,2016,979.2042031
l'antiga esquerra de l'eixample,barri,2017,1060.028242
l'antiga esquerra de l'eixample,barri,2018,1113.076788
l'antiga esquerra de l'eixample,barri,2019,1162.32163
l'antiga esquerra de l'eixample,barri,2020,1155.780407
l'antiga esquerra de l'eixample,barri,2021,1073.733963
l'antiga esquerra de l'eixample,barri,2022,1201.084216
l'antiga esquerra de l'eixample,barri,2023,1352.586271
la nova esquerra de l'eixample,barri,2000,NA
la nova esquerra de l'eixample,barri,2001,NA
la nova esquerra de l'eixample,barri,2002,NA
la nova esquerra de l'eixample,barri,2003,NA
la nova esquerra de l'eixample,barri,2004,NA
la nova esquerra de l'eixample,barri,2005,NA
la nova esquerra de l'eixample,barri,2006,NA
la nova esquerra de l'eixample,barri,2007,NA
la nova esquerra de l'eixample,barri,2008,NA
la nova esquerra de l'eixample,barri,2009,NA
la nova esquerra de l'eixample,barri,2010,NA
la nova esquerra de l'eixample,barri,2011,NA
la nova esquerra de l'eixample,barri,2012,NA
