territori,tipus_de_territori,anys,habitatges_us_turistic
la dreta de l'eixample,barri,2022,1631
la dreta de l'eixample,barri,2023,1655
l'antiga esquerra de l'eixample,barri,2014,727
l'antiga esquerra de l'eixample,barri,2015,727
l'antiga esquerra de l'eixample,barri,2016,709
l'antiga esquerra de l'eixample,barri,2017,709
l'antiga esquerra de l'eixample,barri,2018,708
l'antiga esquerra de l'eixample,barri,2019,710
l'antiga esquerra de l'eixample,barri,2020,709
l'antiga esquerra de l'eixample,barri,2021,688
l'antiga esquerra de l'eixample,barri,2022,670
l'antiga esquerra de l'eixample,barri,2023,678
la nova esquerra de l'eixample,barri,2014,428
la nova esquerra de l'eixample,barri,2015,428
la nova esquerra de l'eixample,barri,2016,418
la nova esquerra de l'eixample,barri,2017,418
la nova esquerra de l'eixample,barri,2018,413
la nova esquerra de l'eixample,barri,2019,413
la nova esquerra de l'eixample,barri,2020,413
la nova esquerra de l'eixample,barri,2021,404
la nova esquerra de l'eixample,barri,2022,520
la nova esquerra de l'eixample,barri,2023,484
sant antoni,barri,2014,568
sant antoni,barri,2015,568
sant antoni,barri,2016,590
sant antoni,barri,2017,590
sant antoni,barri,2018,587
sant antoni,barri,2019,584
sant antoni,barri,2020,586
sant antoni,barri,2021,576
sant antoni,barri,2022,554
sant antoni,barri,2023,567
sants-montjuic,districte,2014,1137
sants-montjuic,districte,2015,1137
sants-montjuic,districte,2016,1164
sants-montjuic,districte,2017,1164
sants-montjuic,districte,2018,1174
sants-montjuic,districte,2019,1169
sants-montjuic,districte,2020,1169
sants-montjuic,districte,2021,1141
sants-montjuic,districte,2022,1113
sants-montjuic,districte,2023,1195
el poble-sec,barri,2014,546
el poble-sec,barri,2015,546
el poble-sec,barri,2016,518
el poble-sec,barri,2017,518
el poble-sec,barri,2018,519
el poble-sec,barri,2019,519
el poble-sec,barri,2020,515
el poble-sec,barri,2021,498
el poble-sec,barri,2022,487
el poble-sec,barri,2023,513
la marina del prat vermell,barri,2014,3
la marina del prat vermell,barri,2015,3
la marina del prat vermell,barri,2016,3
la marina del prat vermell,barri,2017,3
la marina del prat vermell,barri,2018,3
la marina del prat vermell,barri,2019,3
la marina del prat vermell,barri,2020,3
la marina del prat vermell,barri,2021,3
la marina del prat vermell,barri,2022,3
la marina del prat vermell,barri,2023,3
la marina de port,barri,2014,6
la marina de port,barri,2015,6
la marina de port,barri,2016,7
la marina de port,barri,2017,7
la marina de port,barri,2018,7
la marina de port,barri,2019,7
la marina de port,barri,2020,6
la marina de port,barri,2021,6
la marina de port,barri,2022,6
la marina de port,barri,2023,6
la font de la guatlla,barri,2014,74
la font de la guatlla,barri,2015,74
la font de la guatlla,barri,2016,73
la font de la guatlla,barri,2017,73
la font de la guatlla,barri,2018,73
la font de la guatlla,barri,2019,73
la font de la guatlla,barri,2020,73
la font de la guatlla,barri,2021,73
la font de la guatlla,barri,2022,73
la font de la guatlla,barri,2023,131
hostafrancs,barri,2014,187
hostafrancs,barri,2015,187
hostafrancs,barri,2016,168
hostafrancs,barri,2017,168
hostafrancs,barri,2018,177
hostafrancs,barri,2019,172
hostafrancs,barri,2020,177
hostafrancs,barri,2021,175
hostafrancs,barri,2022,174
hostafrancs,barri,2023,177
la bordeta,barri,2014,42
la bordeta,barri,2015,42
la bordeta,barri,2016,44
la bordeta,barri,2017,44
la bordeta,barri,2018,44
la bordeta,barri,2019,44
la bordeta,barri,2020,44
la bordeta,barri,2021,39
la bordeta,barri,2022,30
la bordeta,barri,2023,30
sants-badal,barri,2014,90
sants-badal,barri,2015,90
sants-badal,barri,2016,106
sants-badal,barri,2017,106
sants-badal,barri,2018,106
sants-badal,barri,2019,106
sants-badal,barri,2020,106
sants-badal,barri,2021,103
sants-badal,barri,2022,97
sants-badal,barri,2023,97
sants,barri,2014,189
sants,barri,2015,189
sants,barri,2016,245
sants,barri,2017,245
sants,barri,2018,245
sants,barri,2019,245
sants,barri,2020,245
sants,barri,2021,244
sants,barri,2022,243
sants,barri,2023,238
les corts,districte,2014,215
les corts,districte,2015,215
les corts,districte,2016,267
les corts,districte,2017,267
les corts,districte,2018,266
les corts,districte,2019,265
les corts,districte,2020,261
les corts,districte,2021,257
les corts,districte,2022,256
les corts,districte,2023,270
les corts,barri,2014,171
les corts,barri,2015,171
les corts,barri,2016,210
les corts,barri,2017,210
les corts,barri,2018,209
les corts,barri,2019,208
les corts,barri,2020,206
les corts,barri,2021,202
les corts,barri,2022,201
les corts,barri,2023,211
la maternitat i sant ramon,barri,2014,36
la maternitat i sant ramon,barri,2015,36
la maternitat i sant ramon,barri,2016,46
la maternitat i sant ramon,barri,2017,46
la maternitat i sant ramon,barri,2018,46
la maternitat i sant ramon,barri,2019,46
la maternitat i sant ramon,barri,2020,44
la maternitat i sant ramon,barri,2021,44
la maternitat i sant ramon,barri,2022,44
la maternitat i sant ramon,barri,2023,48
pedralbes,barri,2014,8
pedralbes,barri,2015,8
pedralbes,barri,2016,11
pedralbes,barri,2017,11
pedralbes,barri,2018,11
pedralbes,barri,2019,11
pedralbes,barri,2020,11
pedralbes,barri,2021,11
pedralbes,barri,2022,11
pedralbes,barri,2023,11
sarria-sant gervasi,districte,2014,512
sarria-sant gervasi,districte,2015,512
