territori,tipus_de_territori,anys,edat_mitjana.espanya,edat_mitjana.resta de la unio europea,edat_mitjana.resta del mon
"sant pere, santa caterina i la ribera",barri,2007,47.6677856,32.69920017,31.26956744
"sant pere, santa caterina i la ribera",barri,2008,47.50914388,32.89303357,31.87016072
"sant pere, santa caterina i la ribera",barri,2009,47.27899615,33.06472382,31.71532444
"sant pere, santa caterina i la ribera",barri,2010,47.08839063,32.92748576,31.66649412
"sant pere, santa caterina i la ribera",barri,2011,46.88325547,33.16512414,31.78300913
"sant pere, santa caterina i la ribera",barri,2012,46.69155767,33.43548999,32.06629111
"sant pere, santa caterina i la ribera",barri,2013,46.83402381,33.59089103,32.61516239
"sant pere, santa caterina i la ribera",barri,2014,46.8681225,33.80078856,33.22818228
"sant pere, santa caterina i la ribera",barri,2015,46.65169477,33.78513088,33.21228054
"sant pere, santa caterina i la ribera",barri,2016,46.53176415,33.6720961,33.27422041
"sant pere, santa caterina i la ribera",barri,2017,46.31101019,33.78091679,33.29742403
"sant pere, santa caterina i la ribera",barri,2018,46.48357082,33.74917563,33.14618453
"sant pere, santa caterina i la ribera",barri,2019,46.58965771,33.79527295,33.34737231
"sant pere, santa caterina i la ribera",barri,2020,46.8346188,33.8605731,33.1289003
"sant pere, santa caterina i la ribera",barri,2021,46.82774175,34.02944757,34.07635072
"sant pere, santa caterina i la ribera",barri,2022,46.72620425,34.48123905,34.79464577
"sant pere, santa caterina i la ribera",barri,2023,46.89983292,34.50115899,35.02460008
eixample,districte,1997,45.66694438,43.10527264,34.39724361
eixample,districte,1998,45.72398406,42.06230571,33.97065401
eixample,districte,1999,45.85412042,41.31623256,33.73589632
eixample,districte,2000,45.97944993,41.05161505,33.22482327
eixample,districte,2001,46.16615945,39.73074524,32.30241594
eixample,districte,2002,46.23818263,37.28878967,31.8370915
eixample,districte,2003,46.48312937,36.06121316,31.64714532
eixample,districte,2004,46.71816943,35.66975397,31.7849591
eixample,districte,2005,46.95756673,34.97956074,32.01228082
eixample,districte,2006,47.05774366,34.34587749,32.28096326
eixample,districte,2007,47.17465182,33.74193392,32.33234371
eixample,districte,2008,47.33451076,33.65675224,32.49811004
eixample,districte,2009,47.48690984,33.82159176,32.52902131
eixample,districte,2010,47.52989188,33.94981614,32.77511013
eixample,districte,2011,47.59678721,34.18739305,33.08840103
eixample,districte,2012,47.65199675,34.48437305,33.33019682
eixample,districte,2013,47.73921527,34.74040643,33.59047797
eixample,districte,2014,47.79848141,34.97090392,33.9382893
eixample,districte,2015,47.79446425,35.08337472,34.00418635
eixample,districte,2016,47.81557493,35.00931299,34.21543194
eixample,districte,2017,47.94755902,34.96872676,34.14910521
eixample,districte,2018,48.05505359,35.06850284,34.18872751
eixample,districte,2019,48.20701819,35.10100859,34.44233219
eixample,districte,2020,48.41764213,34.9634579,34.54638668
eixample,districte,2021,48.52764768,34.90999575,35.06484702
eixample,districte,2022,48.65509819,35.21004675,35.27677053
eixample,districte,2023,48.73735586,35.23087138,35.35001473
