territori,tipus_de_territori,anys,sense estudis_espanya,sense estudis_resta de la unio europea,sense estudis_resta del mon,"estudis primaris, certificat d'escolaritat, egb_espanya","estudis primaris, certificat d'escolaritat, egb_resta de la unio europea","estudis primaris, certificat d'escolaritat, egb_resta del mon","batxillerat elemental, graduat escolar, eso, fpi_espanya","batxillerat elemental, graduat escolar, eso, fpi_resta de la unio europea","batxillerat elemental, graduat escolar, eso, fpi_resta del mon","batxillerat superior, bup, cou, fpii, cfgm grau mitja_espanya","batxillerat superior, bup, cou, fpii, cfgm grau mitja_resta de la unio europea","batxillerat superior, bup, cou, fpii, cfgm grau mitja_resta del mon","estudis universitaris, cfgs grau superior_espanya","estudis universitaris, cfgs grau superior_resta de la unio europea","estudis universitaris, cfgs grau superior_resta del mon"
horta-guinardo,districte,2008,16692,19,181,27844,421,3324,29906,638,3533,29716,1140,3920,21382,1566,3278
horta-guinardo,districte,2009,15896,25,227,26693,483,3866,30433,732,4070,29502,1222,4016,21973,1779,3471
horta-guinardo,districte,2010,14932,23,246,25818,448,3905,31159,722,4037,30082,1233,3771,22868,1821,3237
horta-guinardo,districte,2011,13984,21,256,25262,419,3966,31543,697,3925,30354,1109,3624,23645,1742,3230
horta-guinardo,districte,2012,13046,15,234,24750,399,3623,32001,693,3924,32077,1155,3576,24509,1800,3256
horta-guinardo,districte,2013,12388,20,240,24054,391,3275,31958,695,3704,32180,1241,3454,24954,1921,3361
horta-guinardo,districte,2014,11750,16,244,23624,418,3091,32106,671,3450,32264,1230,3197,25840,1971,3175
horta-guinardo,districte,2015,11117,16,211,23169,388,2844,32388,650,3021,32734,1225,2804,26882,2057,3016
horta-guinardo,districte,2016,6421,5,40,27346,379,3055,31955,628,3026,33051,1228,2956,27763,2210,3154
horta-guinardo,districte,2017,5819,6,40,26398,334,2806,32278,655,3605,33216,1246,3233,28482,2451,3916
horta-guinardo,districte,2018,5315,NA,36,25374,310,2797,32522,723,3993,33043,1309,3537,29480,2749,4329
horta-guinardo,districte,2019,4836,NA,51,24343,302,2952,31749,790,4483,33083,1490,4267,30281,3124,4879
horta-guinardo,districte,2020,4448,5,54,23403,309,3116,32464,829,5169,33180,1603,4994,31104,3472,5469
horta-guinardo,districte,2021,3830,5,48,22575,286,3130,31874,810,5512,33557,1614,5400,31631,3337,5805
horta-guinardo,districte,2022,3429,NA,36,21874,299,2887,31600,796,5377,33836,1607,5241,32163,3494,5571
horta-guinardo,districte,2023,3038,NA,40,21044,261,3131,32022,767,6172,33141,1637,6291,33354,3556,6678
el baix guinardo,barri,1997,2999,NA,9,5375,5,31,4025,13,26,5064,31,57,3733,29,56
el baix guinardo,barri,1998,2909,NA,8,5316,7,49,4020,15,28,5063,34,84,3699,25,75
el baix guinardo,barri,1999,2775,NA,8,5224,10,59,4034,16,35,5038,34,105,3679,28,83
el baix guinardo,barri,2000,2621,NA,6,5066,10,83,3999,15,37,4951,41,152,3676,42,111
el baix guinardo,barri,2001,2496,NA,9,4978,11,124,3982,18,106,4848,44,284,3661,55,191
el baix guinardo,barri,2002,2359,NA,26,4424,9,173,4277,22,232,5634,85,458,3873,69,293
el baix guinardo,barri,2003,2232,NA,25,4285,7,251,4233,17,303,5562,99,542,3922,118,438
el baix guinardo,barri,2004,2093,NA,27,4157,10,275,4206,37,379,5407,114,593,3945,158,551
el baix guinardo,barri,2005,2018,NA,28,4046,32,310,4178,45,406,5259,136,620,3994,230,615
el baix guinardo,barri,2006,1937,NA,29,3953,37,397,4180,55,458,5214,151,695,4181,258,688
el baix guinardo,barri,2007,1842,NA,18,3840,60,381,4164,90,478,5171,192,610,4283,349,607
el baix guinardo,barri,2008,1814,NA,18,3721,55,419,4185,106,549,5119,247,666,4356,405,656
el baix guinardo,barri,2009,1730,NA,15,3528,51,470,4234,108,575,5049,260,665,4483,475,698
el baix guinardo,barri,2010,1602,NA,18,3437,45,458,4312,104,595,5128,250,612,4659,479,664
el baix guinardo,barri,2011,1491,NA,15,3351,43,509,4349,104,600,5212,228,571,4823,427,668
el baix guinardo,barri,2012,1384,NA,16,3281,37,467,4353,98,588,5531,219,581,4987,450,661
el baix guinardo,barri,2013,1305,NA,22,3129,29,444,4324,104,558,5520,230,541,5064,470,689
el baix guinardo,barri,2014,1204,NA,28,3068,33,422,4338,107,503,5505,243,470,5277,491,665
el baix guinardo,barri,2015,1123,NA,23,2968,41,398,4320,100,459,5514,267,426,5461,525,596
el baix guinardo,barri,2016,758,NA,NA,3229,43,397,4233,104,449,5556,253,455,5588,567,644
el baix guinardo,barri,2017,669,NA,NA,3129,40,339,4262,114,496,5557,233,494,5709,616,770
el baix guinardo,barri,2018,635,NA,NA,3012,30,330,4277,126,537,5498,238,505,5796,680,857
el baix guinardo,barri,2019,582,NA,NA,2890,27,322,4161,139,553,5452,277,573,5964,735,932
el baix guinardo,barri,2020,560,NA,NA,2761,34,318,4246,137,569,5412,284,629,6120,776,1050
el baix guinardo,barri,2021,472,NA,NA,2573,27,317,4059,142,615,5387,291,697,6121,754,1142
el baix guinardo,barri,2022,426,NA,NA,2452,30,292,3981,150,637,5359,306,717,6120,847,1102
el baix guinardo,barri,2023,377,NA,NA,2321,30,294,4016,141,694,5205,306,804,6259,869,1227
can baro,barri,1997,1382,NA,NA,2198,7,19,1525,NA,5,1463,9,20,899,5,14
can baro,barri,1998,1360,NA,NA,2234,7,20,1560,NA,9,1465,10,26,911,5,15
can baro,barri,1999,1318,NA,NA,2198,9,21,1524,NA,7,1444,10,30,907,7,15
can baro,barri,2000,1247,NA,NA,2148,9,22,1507,NA,10,1451,12,37,890,12,23
can baro,barri,2001,1192,NA,NA,2110,10,32,1483,NA,25,1444,13,64,889,22,44
can baro,barri,2002,1131,NA,NA,1845,6,51,1663,7,43,1728,19,107,1012,28,71
can baro,barri,2003,1069,NA,6,1790,6,97,1645,8,82,1731,19,142,1019,35,98
can baro,barri,2004,1002,NA,5,1742,NA,103,1618,11,99,1674,29,150,1017,46,125
can baro,barri,2005,948,NA,5,1680,5,122,1598,18,113,1611,37,192,1053,70,148
can baro,barri,2006,904,NA,6,1620,5,115,1598,22,130,1585,41,190,1099,89,160
can baro,barri,2007,856,NA,6,1573,14,123,1585,35,125,1559,60,189,1151,105,144
can baro,barri,2008,862,NA,8,1505,19,157,1595,33,171,1547,72,205,1215,121,168
can baro,barri,2009,830,NA,7,1403,24,154,1611,39,211,1574,80,209,1229,144,198
can baro,barri,2010,784,NA,9,1353,31,163,1668,45,194,1593,90,199,1245,154,180
can baro,barri,2011,722,NA,13,1326,25,157,1663,35,171,1610,73,193,1268,150,173
can baro,barri,2012,676,NA,10,1309,25,173,1694,40,192,1675,86,189,1330,162,200
can baro,barri,2013,639,NA,11,1254,22,166,1678,34,171,1655,93,198,1363,168,216
can baro,barri,2014,602,NA,12,1232,21,150,1665,39,142,1661,88,168,1414,180,205
can baro,barri,2015,571,NA,13,1189,16,133,1663,37,135,1678,83,156,1485,186,215
can baro,barri,2016,327,NA,NA,1449,20,143,1666,38,141,1714,82,167,1569,199,205
can baro,barri,2017,300,NA,NA,1364,15,147,1704,44,164,1725,87,174,1583,230,233
can baro,barri,2018,275,NA,NA,1310,10,131,1685,47,165,1723,92,175,1675,242,276
can baro,barri,2019,245,NA,NA,1238,7,151,1651,51,196,1741,109,207,1731,279,314
can baro,barri,2020,213,NA,NA,1194,14,154,1661,52,232,1730,130,231,1778,310,332
can baro,barri,2021,187,NA,NA,1146,15,150,1622,48,251,1748,143,243,1825,299,351
can baro,barri,2022,165,NA,NA,1106,14,146,1610,48,244,1754,139,243,1865,301,340
can baro,barri,2023,144,NA,NA,1050,15,171,1610,56,286,1741,116,304,1919,286,391
el guinardo,barri,1997,4174,7,22,7939,12,47,5541,16,18,6939,34,74,4826,44,52
el guinardo,barri,1998,4038,6,25,7870,12,64,5493,15,22,6937,45,88,4796,44,72
el guinardo,barri,1999,3852,6,26,7746,12,74,5491,17,28,6884,43,127,4741,53,105
el guinardo,barri,2000,3651,6,23,7575,14,83,5440,19,40,6766,47,150,4704,58,125
el guinardo,barri,2001,3444,5,28,7395,14,151,5419,18,133,6742,57,283,4744,84,219
el guinardo,barri,2002,3213,5,50,6291,18,246,5892,29,300,8178,94,536,5089,106,314
el guinardo,barri,2003,3029,NA,44,6064,18,405,5914,37,442,8116,117,694,5133,145,468
el guinardo,barri,2004,2841,NA,38,5871,25,486,5835,47,513,7843,133,743,5192,194,565
el guinardo,barri,2005,2721,5,36,5734,32,534,5811,65,610,7646,146,806,5272,250,654
el guinardo,barri,2006,2553,5,42,5489,42,660,5785,77,682,7383,158,924,5388,282,731
el guinardo,barri,2007,2438,6,39,5320,70,656,5758,110,651,7162,224,844,5519,359,697
el guinardo,barri,2008,2394,6,40,5144,75,712,5743,137,776,7039,267,868,5576,415,755
el guinardo,barri,2009,2225,8,50,4925,74,772,5847,170,900,6994,287,924,5744,480,811
el guinardo,barri,2010,2085,8,54,4743,70,782,5945,160,895,7167,297,865,5963,512,771
el guinardo,barri,2011,1931,5,49,4661,67,777,6069,153,920,7191,265,867,6145,488,760
el guinardo,barri,2012,1749,NA,50,4528,65,745,6135,164,931,7565,283,899,6372,502,754
el guinardo,barri,2013,1655,NA,63,4370,74,715,6096,160,896,7596,309,922,6532,541,819
el guinardo,barri,2014,1568,NA,62,4297,88,679,6108,146,850,7573,300,845,6777,525,745
el guinardo,barri,2015,1483,NA,60,4211,83,654,6219,142,726,7729,291,718,7130,568,731
el guinardo,barri,2016,922,NA,10,4656,77,703,6107,146,736,7790,304,747,7383,615,771
el guinardo,barri,2017,817,NA,9,4462,70,612,6114,159,837,7858,312,793,7545,675,940
el guinardo,barri,2018,739,NA,5,4255,68,592,6203,185,914,7835,338,841,7822,773,1023
el guinardo,barri,2019,668,NA,9,4045,74,580,6018,200,1000,7793,376,957,7965,888,1173
el guinardo,barri,2020,596,NA,11,3853,73,579,6110,210,1086,7789,401,1072,8219,980,1278
el guinardo,barri,2021,502,NA,11,3726,66,581,5987,187,1116,7859,395,1146,8281,944,1348
el guinardo,barri,2022,453,NA,NA,3615,70,516,5915,184,1079,7879,391,1090,8430,990,1354
el guinardo,barri,2023,392,NA,NA,3434,58,541,5957,190,1208,7648,409,1258,8727,1006,1576
la font d'en fargues,barri,1997,864,NA,NA,2034,5,NA,1721,7,NA,2044,11,NA,1460,10,NA
la font d'en fargues,barri,1998,842,NA,NA,2025,5,5,1719,7,NA,2060,12,NA,1463,13,5
la font d'en fargues,barri,1999,812,NA,NA,1993,5,6,1713,7,NA,2025,12,8,1484,13,10
la font d'en fargues,barri,2000,770,NA,NA,1944,5,8,1684,6,5,1994,11,13,1511,12,11
la font d'en fargues,barri,2001,736,NA,NA,1904,NA,10,1679,6,14,1949,10,29,1518,18,17
la font d'en fargues,barri,2002,739,NA,NA,1618,NA,15,1775,6,26,2334,21,47,1586,18,33
la font d'en fargues,barri,2003,726,NA,NA,1572,NA,22,1771,6,36,2346,25,65,1610,22,46
la font d'en fargues,barri,2004,700,NA,NA,1523,NA,41,1775,10,38,2262,23,67,1620,35,61
la font d'en fargues,barri,2005,678,NA,NA,1460,NA,43,1772,12,51,2210,31,69,1645,41,79
la font d'en fargues,barri,2006,642,NA,NA,1412,NA,53,1720,13,68,2106,34,89,1681,49,90
la font d'en fargues,barri,2007,611,NA,NA,1366,13,44,1715,26,52,2034,47,81,1768,60,74
la font d'en fargues,barri,2008,624,NA,NA,1310,14,57,1716,30,72,2021,56,87,1814,69,84
la font d'en fargues,barri,2009,595,NA,NA,1251,20,59,1715,37,82,1986,59,94,1846,74,92
la font d'en fargues,barri,2010,549,NA,6,1166,21,66,1733,41,79,1990,62,88,1893,76,76
la font d'en fargues,barri,2011,497,NA,7,1126,15,68,1748,39,82,1987,56,79,1974,66,73
la font d'en fargues,barri,2012,451,NA,7,1110,16,73,1760,35,92,2138,60,82,2035,74,80
la font d'en fargues,barri,2013,422,NA,6,1081,14,61,1719,33,84,2162,55,82,2079,74,75
la font d'en fargues,barri,2014,394,NA,6,1059,10,54,1743,31,80,2134,49,75,2126,75,85
la font d'en fargues,barri,2015,370,NA,7,1033,6,49,1721,29,67,2147,39,68,2174,82,75
la font d'en fargues,barri,2016,208,NA,NA,1149,6,61,1700,23,61,2149,41,74,2213,80,65
la font d'en fargues,barri,2017,176,NA,NA,1109,9,50,1711,20,76,2133,44,81,2236,94,95
la font d'en fargues,barri,2018,157,NA,NA,1055,11,51,1743,21,94,2087,58,91,2307,119,110
la font d'en fargues,barri,2019,142,NA,NA,1016,8,47,1649,26,96,2088,66,94,2374,139,124
la font d'en fargues,barri,2020,134,NA,NA,967,6,60,1704,32,112,2074,65,105,2428,162,146
la font d'en fargues,barri,2021,107,NA,NA,926,7,62,1627,30,112,2110,60,109,2487,148,181
la font d'en fargues,barri,2022,102,NA,NA,895,7,64,1655,30,98,2140,61,105,2572,144,177
la font d'en fargues,barri,2023,90,NA,NA,887,6,63,1703,25,116,2116,74,117,2642,161,213
el carmel,barri,1997,7513,NA,10,8874,11,41,6445,NA,18,4159,8,56,1326,8,21
el carmel,barri,1998,7340,NA,11,8904,11,49,6444,6,24,4113,12,58,1311,7,22
el carmel,barri,1999,7059,NA,9,8812,17,64,6378,9,27,4003,16,72,1273,12,25
el carmel,barri,2000,6752,NA,9,8605,18,63,6290,10,33,3950,21,97,1270,15,43
el carmel,barri,2001,6473,NA,15,8449,19,125,6168,10,98,3845,25,191,1257,19,106
el carmel,barri,2002,6199,NA,32,7401,17,253,6940,16,266,4901,40,409,1424,31,200
el carmel,barri,2003,5951,NA,32,7118,21,411,6925,21,428,4847,54,556,1458,36,284
el carmel,barri,2004,5640,NA,33,6927,19,534,6830,25,499,4671,62,664,1510,55,350
el carmel,barri,2005,5393,NA,33,6695,27,636,6783,30,576,4512,71,766,1605,82,418
el carmel,barri,2006,5158,NA,34,6509,26,745,6735,34,665,4372,88,864,1649,96,465
el carmel,barri,2007,4931,5,40,6228,76,756,6673,70,724,4269,149,850,1728,127,447
el carmel,barri,2008,4772,NA,52,6040,105,791,6660,112,829,4199,158,876,1788,159,476
el carmel,barri,2009,4560,7,63,5794,135,834,6858,139,919,4201,174,862,1872,167,497
el carmel,barri,2010,4301,7,57,5594,112,791,7098,141,922,4275,182,840,1979,169,450
el carmel,barri,2011,4090,9,56,5508,106,794,7182,144,893,4315,164,795,2050,175,435
el carmel,barri,2012,3862,5,55,5442,93,794,7328,145,934,4589,169,754,2148,197,441
el carmel,barri,2013,3687,7,53,5339,90,785,7395,147,911,4638,189,741,2181,219,421
el carmel,barri,2014,3541,NA,57,5268,96,787,7420,139,837,4669,185,725,2284,244,400
el carmel,barri,2015,3397,NA,45,5253,77,712,7487,135,756,4780,184,618,2373,253,387
el carmel,barri,2016,1710,NA,10,6860,74,784,7402,136,765,4828,194,647,2447,283,412
el carmel,barri,2017,1559,NA,12,6643,62,732,7454,136,936,4851,212,723,2524,314,528
el carmel,barri,2018,1432,NA,14,6425,65,728,7495,142,1064,4864,213,825,2658,353,653
el carmel,barri,2019,1308,NA,16,6191,64,763,7403,157,1190,4856,257,984,2779,408,740
el carmel,barri,2020,1194,NA,15,5979,60,806,7506,172,1350,4921,286,1126,2843,479,839
el carmel,barri,2021,1034,NA,13,5853,51,840,7480,176,1446,5064,291,1271,2924,457,926
el carmel,barri,2022,907,NA,9,5699,51,778,7413,163,1340,5186,278,1238,3024,473,873
el carmel,barri,2023,792,NA,13,5519,44,813,7499,156,1449,5095,299,1380,3181,464,1088
la teixonera,barri,1997,2336,NA,NA,3030,NA,23,2052,5,15,1530,NA,20,569,NA,16
la teixonera,barri,1998,2269,NA,NA,3019,NA,34,2078,5,18,1536,NA,26,553,NA,19
la teixonera,barri,1999,2201,NA,NA,2999,6,43,2065,6,14,1537,6,32,560,NA,27
la teixonera,barri,2000,2114,NA,6,2967,6,41,2076,5,17,1561,7,39,580,5,32
la teixonera,barri,2001,2023,NA,7,2920,8,96,2072,7,61,1549,7,87,587,7,68
la teixonera,barri,2002,1939,NA,12,2552,6,122,2371,8,112,1960,12,174,659,10,123
la teixonera,barri,2003,1858,NA,21,2471,11,201,2348,9,181,1952,15,253,697,19,173
la teixonera,barri,2004,1759,NA,19,2424,12,251,2346,15,225,1905,21,303,702,27,203
la teixonera,barri,2005,1692,NA,22,2357,15,304,2317,23,288,1864,33,312,738,31,226
la teixonera,barri,2006,1614,NA,19,2263,15,303,2299,25,295,1795,37,355,785,42,230
la teixonera,barri,2007,1524,NA,24,2200,36,242,2281,41,278,1798,64,303,816,65,194
la teixonera,barri,2008,1492,NA,24,2140,48,275,2293,50,306,1776,89,346,858,75,220
la teixonera,barri,2009,1414,NA,14,2061,52,290,2312,59,351,1746,100,351,877,86,227
la teixonera,barri,2010,1346,NA,17,1995,51,326,2380,62,351,1756,89,300,924,92,201
la teixonera,barri,2011,1255,NA,25,1968,40,321,2440,51,327,1809,83,293,986,92,204
la teixonera,barri,2012,1170,NA,22,1937,35,307,2473,54,340,1907,93,285,1036,96,228
la teixonera,barri,2013,1117,NA,24,1890,35,303,2505,48,305,1913,96,279,1046,111,227
la teixonera,barri,2014,1058,NA,14,1862,35,250,2530,47,268,1941,94,242,1087,118,178
la teixonera,barri,2015,995,NA,15,1843,33,227,2604,55,227,1953,95,197,1144,109,182
la teixonera,barri,2016,520,NA,NA,2270,30,257,2555,42,219,1964,87,207,1166,111,208
la teixonera,barri,2017,479,NA,NA,2228,24,257,2601,42,291,2017,83,246,1242,120,289
la teixonera,barri,2018,431,NA,NA,2130,22,248,2589,52,299,2034,75,259,1330,149,320
la teixonera,barri,2019,396,NA,NA,2057,23,260,2556,58,342,2041,96,329,1344,175,342
la teixonera,barri,2020,361,NA,NA,1975,22,276,2620,68,416,2065,103,396,1359,185,369
la teixonera,barri,2021,314,NA,NA,1959,21,275,2647,72,428,2095,101,426,1432,187,390
la teixonera,barri,2022,281,NA,5,1895,18,249,2623,67,398,2098,100,417,1504,188,383
la teixonera,barri,2023,264,NA,NA,1833,19,269,2633,54,432,2070,109,482,1581,192,451
sant genis dels agudells,barri,1997,1254,NA,NA,1841,6,12,1188,5,NA,1153,5,15,706,9,15
sant genis dels agudells,barri,1998,1232,NA,NA,1807,5,12,1188,NA,NA,1139,NA,23,686,9,13
sant genis dels agudells,barri,1999,1210,NA,NA,1803,NA,12,1169,NA,NA,1117,5,23,660,9,17
sant genis dels agudells,barri,2000,1160,NA,NA,1779,NA,14,1172,NA,6,1095,6,22,656,11,20
sant genis dels agudells,barri,2001,1117,NA,NA,1721,6,22,1161,NA,19,1067,9,47,648,13,43
sant genis dels agudells,barri,2002,1055,NA,NA,1569,6,32,1293,7,52,1305,16,79,684,26,91
sant genis dels agudells,barri,2003,1017,NA,NA,1528,NA,52,1281,8,87,1282,19,116,676,34,120
sant genis dels agudells,barri,2004,969,NA,NA,1463,5,65,1274,13,103,1221,21,110,676,37,149
sant genis dels agudells,barri,2005,939,NA,NA,1431,7,89,1263,15,117,1158,25,143,684,39,161
sant genis dels agudells,barri,2006,910,NA,NA,1390,7,105,1271,23,107,1135,33,166,706,44,176
sant genis dels agudells,barri,2007,868,NA,NA,1344,14,96,1272,24,102,1103,37,160,708,57,150
sant genis dels agudells,barri,2008,851,NA,NA,1319,18,122,1280,34,136,1091,41,171,710,59,178
sant genis dels agudells,barri,2009,812,NA,NA,1288,24,158,1315,39,158,1086,44,178,731,70,183
sant genis dels agudells,barri,2010,768,NA,NA,1262,21,145,1349,34,155,1128,41,173,771,59,153
sant genis dels agudells,barri,2011,745,NA,NA,1241,18,145,1350,32,145,1142,36,153,770,52,150
sant genis dels agudells,barri,2012,718,NA,NA,1205,15,131,1385,25,156,1195,42,152,779,45,145
sant genis dels agudells,barri,2013,687,NA,9,1153,15,137,1378,32,156,1195,48,128,787,50,154
sant genis dels agudells,barri,2014,658,NA,6,1122,12,117,1381,35,151,1213,46,124,828,49,139
sant genis dels agudells,barri,2015,610,NA,NA,1088,12,107,1405,31,127,1211,43,112,856,50,116
sant genis dels agudells,barri,2016,392,NA,NA,1271,10,115,1373,31,119,1205,43,126,874,60,135
sant genis dels agudells,barri,2017,355,NA,NA,1225,9,112,1402,30,157,1218,49,150,900,72,173
sant genis dels agudells,barri,2018,323,NA,NA,1197,13,134,1415,33,192,1247,54,175,948,76,192
sant genis dels agudells,barri,2019,283,NA,NA,1148,10,150,1409,34,238,1290,54,234,978,85,225
sant genis dels agudells,barri,2020,266,NA,NA,1117,7,160,1458,34,266,1299,63,288,988,102,258
sant genis dels agudells,barri,2021,226,NA,NA,1076,12,144,1441,32,284,1323,66,303,1011,96,276
sant genis dels agudells,barri,2022,189,NA,NA,1040,13,131,1432,28,277,1347,69,295,1011,90,264
sant genis dels agudells,barri,2023,168,NA,NA,1005,10,125,1464,28,334,1316,67,334,1054,101,291
montbau,barri,1997,1069,NA,NA,1495,NA,5,828,NA,NA,875,5,NA,583,NA,8
montbau,barri,1998,1043,NA,NA,1451,NA,5,840,NA,NA,876,NA,8,583,NA,9
montbau,barri,1999,990,NA,NA,1406,NA,5,808,NA,NA,866,NA,10,578,NA,12
montbau,barri,2000,941,NA,NA,1364,NA,5,789,NA,5,844,NA,14,586,NA,18
montbau,barri,2001,885,NA,NA,1307,NA,14,793,NA,14,841,NA,30,580,NA,51
montbau,barri,2002,830,NA,NA,1179,NA,21,835,NA,41,983,7,59,632,7,80
montbau,barri,2003,789,NA,NA,1149,NA,48,826,NA,62,976,NA,91,634,8,135
montbau,barri,2004,755,NA,NA,1112,NA,59,820,5,62,934,5,91,643,12,168
montbau,barri,2005,729,NA,NA,1083,NA,60,809,5,71,925,6,96,643,20,165
montbau,barri,2006,696,NA,NA,1053,NA,64,797,9,72,901,11,100,653,24,187
montbau,barri,2007,648,NA,NA,996,6,56,789,8,68,884,10,87,675,29,149
montbau,barri,2008,659,NA,NA,983,6,62,792,10,71,888,13,100,682,36,146
montbau,barri,2009,613,NA,NA,953,7,74,822,15,71,911,15,87,708,37,145
montbau,barri,2010,591,NA,NA,918,6,61,864,11,82,923,14,83,747,43,140
montbau,barri,2011,534,NA,NA,867,7,82,887,14,86,925,17,95,756,42,140
montbau,barri,2012,495,NA,NA,834,12,83,902,13,86,965,17,93,770,40,119
montbau,barri,2013,465,NA,NA,818,10,74,904,16,79,956,22,87,782,44,133
montbau,barri,2014,418,NA,NA,786,14,76,945,14,69,981,21,77,783,43,136
montbau,barri,2015,404,NA,NA,777,14,70,952,13,59,1011,21,83,794,39,138
montbau,barri,2016,323,NA,NA,836,12,56,948,13,56,1032,17,80,823,39,151
montbau,barri,2017,297,NA,NA,816,10,62,977,20,72,1015,18,87,835,59,180
montbau,barri,2018,276,NA,NA,760,5,64,969,17,86,1005,26,105,864,64,184
montbau,barri,2019,247,NA,NA,700,NA,62,950,21,89,1014,40,130,898,77,193
montbau,barri,2020,212,NA,NA,663,NA,57,966,23,113,1009,42,144,948,96,227
montbau,barri,2021,187,NA,NA,617,NA,60,934,24,121,1010,42,150,977,90,221
montbau,barri,2022,170,NA,NA,596,NA,48,897,24,120,1022,47,150,977,96,209
montbau,barri,2023,160,NA,NA,567,5,54,927,18,141,1011,45,178,1034,90,277
la vall d'hebron,barri,1997,454,NA,NA,1065,NA,NA,929,NA,NA,1155,5,9,858,NA,23
la vall d'hebron,barri,1998,438,NA,NA,1065,NA,NA,931,NA,NA,1152,5,12,862,5,28
la vall d'hebron,barri,1999,429,NA,NA,1065,NA,NA,928,NA,NA,1149,NA,15,861,NA,28
la vall d'hebron,barri,2000,418,NA,NA,1039,NA,7,914,NA,5,1143,NA,17,871,5,38
la vall d'hebron,barri,2001,400,NA,NA,1024,NA,16,897,NA,7,1116,5,27,858,7,58
la vall d'hebron,barri,2002,385,NA,NA,916,NA,27,911,6,17,1294,6,66,890,15,113
la vall d'hebron,barri,2003,369,NA,NA,901,NA,39,913,6,34,1272,9,87,901,17,168
la vall d'hebron,barri,2004,358,NA,5,884,NA,52,911,8,45,1234,12,92,915,27,200
la vall d'hebron,barri,2005,346,NA,NA,866,7,48,912,10,52,1173,18,101,924,29,223
la vall d'hebron,barri,2006,336,NA,NA,837,8,61,910,11,72,1130,20,106,935,37,221
la vall d'hebron,barri,2007,333,NA,NA,811,9,51,890,16,65,1083,28,86,930,54,150
la vall d'hebron,barri,2008,349,NA,NA,827,13,59,901,18,84,1057,34,95,953,69,148
la vall d'hebron,barri,2009,356,NA,NA,799,11,57,923,16,75,1041,31,85,979,70,137
la vall d'hebron,barri,2010,344,NA,NA,815,9,61,957,19,70,1067,35,60,1023,70,147
la vall d'hebron,barri,2011,316,NA,NA,805,12,59,945,25,65,1085,23,59,1072,70,137
la vall d'hebron,barri,2012,287,NA,NA,794,16,57,962,20,67,1143,25,58,1096,67,156
la vall d'hebron,barri,2013,276,NA,NA,790,13,55,957,23,60,1144,20,59,1075,63,158
la vall d'hebron,barri,2014,264,NA,NA,776,11,47,992,19,53,1154,27,54,1101,56,153
la vall d'hebron,barri,2015,245,NA,NA,753,8,44,988,17,45,1163,30,55,1155,56,114
la vall d'hebron,barri,2016,140,NA,NA,858,5,37,965,16,50,1231,34,50,1254,64,120
la vall d'hebron,barri,2017,137,NA,NA,833,7,43,999,19,59,1248,36,63,1299,64,135
la vall d'hebron,barri,2018,129,NA,NA,800,6,44,1027,20,70,1224,38,68,1310,61,130
la vall d'hebron,barri,2019,113,NA,NA,779,5,42,1018,19,64,1259,40,76,1334,68,137
la vall d'hebron,barri,2020,114,NA,NA,758,9,38,1060,18,76,1267,45,93,1376,68,156
la vall d'hebron,barri,2021,110,NA,NA,731,13,47,1043,18,92,1293,47,96,1429,62,162
la vall d'hebron,barri,2022,104,NA,NA,721,12,42,1018,19,109,1289,47,101,1441,74,129
la vall d'hebron,barri,2023,92,NA,NA,695,10,50,1020,14,126,1240,45,103,1485,78,151
la clota,barri,1997,89,NA,NA,116,NA,NA,68,NA,NA,33,NA,NA,74,NA,NA
la clota,barri,1998,92,NA,NA,115,NA,5,76,NA,NA,31,NA,NA,71,NA,NA
la clota,barri,1999,91,NA,NA,114,NA,6,71,NA,NA,34,NA,NA,71,NA,NA
la clota,barri,2000,84,NA,NA,113,NA,6,71,NA,NA,34,NA,NA,71,NA,NA
la clota,barri,2001,78,NA,NA,113,NA,6,66,NA,NA,34,NA,NA,67,NA,NA
la clota,barri,2002,79,NA,NA,100,NA,9,71,NA,NA,41,NA,8,64,NA,NA
la clota,barri,2003,70,NA,NA,97,NA,14,76,NA,8,46,NA,9,63,NA,NA
la clota,barri,2004,67,NA,NA,95,NA,17,78,NA,7,47,NA,8,62,NA,NA
la clota,barri,2005,69,NA,NA,99,NA,16,77,NA,7,44,NA,11,65,NA,NA
la clota,barri,2006,66,NA,NA,95,NA,20,79,NA,10,48,NA,12,60,NA,5
la clota,barri,2007,58,NA,NA,89,NA,13,73,NA,9,47,NA,14,58,NA,8
la clota,barri,2008,56,NA,NA,88,NA,16,74,NA,9,49,NA,10,59,NA,8
la clota,barri,2009,50,NA,NA,79,NA,23,79,NA,20,47,NA,13,56,NA,12
la clota,barri,2010,44,NA,NA,74,NA,23,81,NA,16,43,NA,15,61,NA,8
la clota,barri,2011,46,NA,NA,72,NA,37,77,NA,17,45,NA,15,56,6,7
la clota,barri,2012,40,NA,NA,67,NA,30,76,NA,15,50,NA,17,57,NA,6
la clota,barri,2013,38,NA,NA,67,NA,25,74,NA,21,47,NA,15,56,5,NA
la clota,barri,2014,36,NA,5,65,NA,29,99,NA,24,64,NA,14,90,NA,6
la clota,barri,2015,30,NA,NA,58,NA,21,103,NA,17,78,NA,15,107,5,6
la clota,barri,2016,21,NA,NA,74,NA,25,114,NA,12,92,NA,16,121,6,NA
